,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Montgomery,32.36,-86.28,Shashy's Bakery & Fine Foods,32.362289362974124,-86.28322586649156,Bakery
1,Montgomery,32.36,-86.28,Martin's Restaurant,32.35726195699843,-86.2828618780418,Fried Chicken Joint
2,Montgomery,32.36,-86.28,Subway,32.3575022,-86.2836637,Sandwich Place
3,Montgomery,32.36,-86.28,Havana Dreamin',32.35815690288885,-86.28166001899751,Smoke Shop
4,Montgomery,32.36,-86.28,Jimmy John's,32.358196658927795,-86.28298469462071,Sandwich Place
5,Montgomery,32.36,-86.28,SONIC Drive In,32.3587569087165,-86.2827120628935,Fast Food Restaurant
6,Montgomery,32.36,-86.28,Winn-Dixie,32.35798787234582,-86.28375089313198,Grocery Store
7,Montgomery,32.36,-86.28,China Sea,32.357362,-86.283443,Chinese Restaurant
8,Juneau,58.3,-134.42,Coppa,58.30165745753255,-134.42139398731672,Coffee Shop
9,Juneau,58.3,-134.42,Sandpiper Cafe,58.30095417446164,-134.4159412344867,Breakfast Spot
10,Juneau,58.3,-134.42,Seong's Sushi Bar & Chinese Take Out,58.30161828020241,-134.4213535028201,Sushi Restaurant
11,Juneau,58.3,-134.42,Alaska State Museum,58.30014027236399,-134.41505312300103,History Museum
12,Juneau,58.3,-134.42,Capital Brew,58.29984969270602,-134.42177785479836,Café
13,Juneau,58.3,-134.42,Domino's Pizza,58.3003271,-134.4177274,Pizza Place
14,Juneau,58.3,-134.42,Juneau Arts & Humanities Center,58.29964756965637,-134.413371,General Entertainment
15,Juneau,58.3,-134.42,TK Maguire's,58.29941651777461,-134.41558931346555,American Restaurant
16,Juneau,58.3,-134.42,Bullwinkle's Pizza Parlor,58.300404213179185,-134.41239309216004,Pizza Place
17,Juneau,58.3,-134.42,Prospector Hotel,58.29955199065993,-134.41575263752492,Hotel
18,Juneau,58.3,-134.42,Alaska Governor's Mansion,58.302652,-134.41495600000002,Historic Site
19,Phoenix,33.45,-112.07,Herberger Theater Center,33.45057836465805,-112.07047567351984,Theater
20,Phoenix,33.45,-112.07,Symphony Hall,33.4484100925743,-112.0707014440975,Opera House
21,Phoenix,33.45,-112.07,Sheraton Grand Phoenix,33.4522663,-112.0703487,Hotel
22,Phoenix,33.45,-112.07,The Kettle Black,33.448468259967434,-112.07245139944732,Pub
23,Phoenix,33.45,-112.07,Downtown Salon Phoenix,33.45032260783594,-112.07254849526032,Salon / Barbershop
24,Phoenix,33.45,-112.07,Hyatt Regency Phoenix,33.44997699283579,-112.07166536621344,Hotel
25,Phoenix,33.45,-112.07,Elevate at Renaissance Phoenix Downtown Hotel,33.450169134521914,-112.07279919506524,Hotel Bar
26,Phoenix,33.45,-112.07,Heritage and Science Park,33.449331061772,-112.06636897423789,Park
27,Phoenix,33.45,-112.07,V's Barbershop,33.448075403490186,-112.07279500824622,Salon / Barbershop
28,Phoenix,33.45,-112.07,Valley Bar,33.45011994068906,-112.07410303974542,Music Venue
29,Phoenix,33.45,-112.07,Kaleidoscope Juice,33.44832001653133,-112.0725404836067,Juice Bar
30,Phoenix,33.45,-112.07,Cornish Pasty Co,33.45022618478677,-112.07410878005035,Pub
31,Phoenix,33.45,-112.07,Perry Monge Salon and Spa,33.4472430545142,-112.0708645973591,Salon / Barbershop
32,Phoenix,33.45,-112.07,Hanny's,33.449054838755,-112.0730693665446,Lounge
33,Phoenix,33.45,-112.07,Historic Heritage Square,33.44999219596337,-112.06604877105198,History Museum
34,Phoenix,33.45,-112.07,Pizzeria Bianco,33.44926073344454,-112.06564709544182,Pizza Place
35,Phoenix,33.45,-112.07,Kimpton Hotel Palomar Phoenix Cityscape,33.447423,-112.073284,Hotel
36,Phoenix,33.45,-112.07,The Arrogant Butcher,33.447354225134795,-112.07263224789942,American Restaurant
37,Phoenix,33.45,-112.07,The Westin Phoenix Downtown,33.451669015875815,-112.07302820878795,Hotel
38,Phoenix,33.45,-112.07,Starbucks,33.45209,-112.0693,Coffee Shop
39,Phoenix,33.45,-112.07,Bar Smith,33.44846801220561,-112.07179821535779,Bar
40,Phoenix,33.45,-112.07,Compass Arizona Grill,33.44982001883171,-112.07175467196176,American Restaurant
