State,Latitude,Longitude
AL,32.36,-86.28
AK,58.3,-134.42
AZ,33.45,-112.07
AR,34.74,-92.33
CA,38.56,-121.47
CO,39.74,-104.98
CT,41.77,-72.68
DC,38.91,-77.01
DE,39.16,-75.53
FL,30.45,-84.27
GA,33.76,-84.39
HI,21.31,-157.83
ID,43.61,-116.24
IL,39.78,-89.65
IN,39.79,-86.15
IA,41.59,-93.62
KS,39.04,-95.69
KY,38.2,-84.86
LA,30.46,-91.14
ME,44.32,-69.77
MD,38.97,-76.5
MA,42.24,-71.03
MI,42.73,-84.55
MN,44.95,-93.09
MS,32.32,-90.21
MO,38.57,-92.19
MT,46.6,-112.03
NE,40.81,-96.68
NV,39.16,-119.75
NH,43.22,-71.55
NJ,40.22,-74.76
NM,35.67,-105.96
NY,42.66,-73.78
NC,35.77,-78.64
ND,48.81,-100.78
OH,39.96,-83
OK,35.48,-97.53
OR,44.93,-123.03
PA,40.27,-76.88
PR,18.22,-66.59
RI,41.82,-71.42
SC,34,-81.04
SD,44.37,-100.34
TN,36.17,-86.78
TX,30.27,-97.75
US,38.91,77.01
UT,40.75,-111.89
VT,44.27,-72.57
VA,37.54,-77.46
WA,47.04,-122.89
WV,38.35,-81.63
WI,43.07,-89.38
WY,41.15,-104.8
